condition	seed	template	data_lang	instr_lang	n	accuracy	top_pred	top_pred_count	top_pred_share	top_raw	top_raw_count	top_raw_share	correct_count	correct_via_constant_pred_count	correct_via_constant_pred_pct	correct_via_constant_raw_count	correct_via_constant_raw_pct
baseline	seednone	2	es	es	204	0.5147	science/technology	141	0.6912	Science/Technology	76	0.3725	105	51	0.4857	25	0.2381
baseline	seednone	2	es	ur	204	0.3088	science/technology	88	0.4314	سائنس/ٹیکنالوجی	48	0.2353	63	47	0.7460	29	0.4603
baseline	seednone	2	es	zh	204	0.5931	science/technology	114	0.5588	science/technology	59	0.2892	121	50	0.4132	34	0.2810
baseline	seednone	2	ur	en	204	0.6814	science/technology	85	0.4167	Science/Technology	78	0.3824	139	49	0.3525	43	0.3094
baseline	seednone	2	ur	es	204	0.6127	science/technology	110	0.5392	science/technology	61	0.2990	125	48	0.3840	26	0.2080
baseline	seednone	2	ur	ur	204	0.5294	science/technology	92	0.4510	سائنس/تکنالوجی	63	0.3088	108	45	0.4167	28	0.2593
baseline	seednone	2	ur	zh	204	0.5343	science/technology	123	0.6029	science/technology	121	0.5931	109	48	0.4404	48	0.4404
baseline	seednone	2	zh	en	204	0.6961	science/technology	88	0.4314	Science/Technology	88	0.4314	142	50	0.3521	50	0.3521
baseline	seednone	2	zh	es	204	0.5588	science/technology	122	0.5980	Science/Technology	92	0.4510	114	48	0.4211	35	0.3070
baseline	seednone	2	zh	ur	204	0.3971	science/technology	71	0.3480	سائنس/ٹیکنالوجی	39	0.1912	81	46	0.5679	28	0.3457
baseline	seednone	2	zh	zh	204	0.6225	science/technology	104	0.5098	science/technology	65	0.3186	127	47	0.3701	38	0.2992
condition-1-en-20k	seed42	1	en	en	204	0.7549	science/technology	90	0.4412	Science/Technology	90	0.4412	154	51	0.3312	51	0.3312
condition-1-en-20k	seed42	1	en	es	204	0.6176	science/technology	117	0.5735	Science/Technology	117	0.5735	126	51	0.4048	51	0.4048
condition-1-en-20k	seed42	1	en	ur	204	0.4951	science/technology	107	0.5245	science/تکنالوجی	74	0.3627	101	51	0.5050	35	0.3465
condition-1-en-20k	seed42	1	en	zh	204	0.6961	science/technology	100	0.4902	science/technology	100	0.4902	142	50	0.3521	50	0.3521
condition-1-en-20k	seed42	1	es	en	204	0.7745	science/technology	85	0.4167	Science/Technology	80	0.3922	158	50	0.3165	45	0.2848
condition-1-en-20k	seed42	1	es	es	204	0.6029	science/technology	123	0.6029	Science/Technology	123	0.6029	123	51	0.4146	51	0.4146
condition-1-en-20k	seed42	1	es	ur	204	0.5147	science/technology	78	0.3824	سائنس/تکنالوجی	58	0.2843	105	45	0.4286	37	0.3524
condition-1-en-20k	seed42	1	es	zh	204	0.6225	science/technology	109	0.5343	science/technology	104	0.5098	127	51	0.4016	51	0.4016
condition-1-en-20k	seed42	1	ur	en	204	0.6863	science/technology	88	0.4314	science/technology	87	0.4265	140	46	0.3286	46	0.3286
condition-1-en-20k	seed42	1	ur	es	204	0.5000	science/technology	140	0.6863	science/technology	75	0.3676	102	50	0.4902	35	0.3431
condition-1-en-20k	seed42	1	ur	ur	204	0.5686	science/technology	123	0.6029	science/تکنالوجی	70	0.3431	116	49	0.4224	29	0.2500
condition-1-en-20k	seed42	1	ur	zh	204	0.5245	science/technology	142	0.6961	science/technology	141	0.6912	107	51	0.4766	51	0.4766
condition-1-en-20k	seed42	1	zh	en	204	0.7647	science/technology	76	0.3725	science/technology	39	0.1912	156	47	0.3013	26	0.1667
condition-1-en-20k	seed42	1	zh	es	204	0.5490	science/technology	132	0.6471	Science/Technology	120	0.5882	112	51	0.4554	48	0.4286
condition-1-en-20k	seed42	1	zh	ur	204	0.5294	science/technology	86	0.4216	سائنس/تکنالوجی	59	0.2892	108	45	0.4167	36	0.3333
condition-1-en-20k	seed42	1	zh	zh	204	0.6471	science/technology	111	0.5441	science/technology	93	0.4559	132	51	0.3864	50	0.3788
condition-1-en-20k	seed42	2	en	en	204	0.6863	science/technology	96	0.4706	Science/Technology	96	0.4706	140	50	0.3571	50	0.3571
condition-1-en-20k	seed42	2	en	es	204	0.4657	science/technology	155	0.7598	Science/Technology	132	0.6471	95	51	0.5368	43	0.4526
condition-1-en-20k	seed42	2	en	ur	204	0.4559	science/technology	99	0.4853	سائنس/تکنالوجی	68	0.3333	93	49	0.5269	37	0.3978
condition-1-en-20k	seed42	2	en	zh	204	0.6373	science/technology	102	0.5000	science/technology	85	0.4167	130	49	0.3769	46	0.3538
condition-1-en-20k	seed42	2	es	en	204	0.6422	science/technology	103	0.5049	Science/Technology	103	0.5049	131	50	0.3817	50	0.3817
condition-1-en-20k	seed42	2	es	es	204	0.4608	science/technology	157	0.7696	Science/Technology	98	0.4804	94	51	0.5426	28	0.2979
condition-1-en-20k	seed42	2	es	ur	204	0.4118	science/technology	88	0.4314	سائنس/ٹیکنالوجی	69	0.3382	84	47	0.5595	41	0.4881
condition-1-en-20k	seed42	2	es	zh	204	0.5833	science/technology	117	0.5735	science/technology	73	0.3578	119	51	0.4286	39	0.3277
condition-1-en-20k	seed42	2	ur	en	204	0.6471	science/technology	95	0.4657	Science/Technology	70	0.3431	132	49	0.3712	32	0.2424
condition-1-en-20k	seed42	2	ur	es	204	0.5196	science/technology	136	0.6667	science/technology	73	0.3578	106	50	0.4717	26	0.2453
condition-1-en-20k	seed42	2	ur	ur	204	0.5637	science/technology	93	0.4559	سائنس/تکنالوجی	61	0.2990	115	44	0.3826	27	0.2348
condition-1-en-20k	seed42	2	ur	zh	204	0.5049	science/technology	126	0.6176	science/technology	123	0.6029	103	49	0.4757	47	0.4563
condition-1-en-20k	seed42	2	zh	en	204	0.6324	science/technology	104	0.5098	Science/Technology	103	0.5049	129	50	0.3876	49	0.3798
