condition	seed	template	benchmark	data	instr	baseline_orig	cond_orig	delta_orig	baseline_rep	cond_rep	delta_rep	baseline_pf_orig	cond_pf_orig	baseline_pf_rep	cond_pf_rep
condition-1-en-5k	123	1	csqa	zh	es	0.5000	0.5030	+0.0030	0.5000	0.5030	+0.0030	0.0020	0.0000	0.0020	0.0000
condition-1-en-5k	123	1	csqa	zh	ur	0.4810	0.4790	-0.0020	0.4810	0.4790	-0.0020	0.0000	0.0000	0.0000	0.0000
condition-1-en-5k	123	1	csqa	zh	zh	0.5340	0.5270	-0.0070	0.5340	0.5270	-0.0070	0.0000	0.0000	0.0000	0.0000
condition-1-en-5k	123	1	sib200	en	en	0.7549	0.7500	-0.0049	0.7549	0.7500	-0.0049	0.0000	0.0000	0.0000	0.0000
condition-1-en-5k	123	1	sib200	en	es	0.6618	0.6618	+0.0000	0.6618	0.6618	+0.0000	0.0000	0.0000	0.0000	0.0000
condition-1-en-5k	123	1	sib200	en	ur	0.3088	0.3431	+0.0343	0.4951	0.4902	-0.0049	0.4510	0.3873	0.0931	0.0931
condition-1-en-5k	123	1	sib200	en	zh	0.7157	0.7108	-0.0049	0.7157	0.7108	-0.0049	0.0000	0.0000	0.0000	0.0000
condition-1-en-5k	123	1	sib200	es	en	0.7794	0.7794	+0.0000	0.7745	0.7549	-0.0196	0.0000	0.0000	0.0049	0.0294
condition-1-en-5k	123	1	sib200	es	es	0.6471	0.6422	-0.0049	0.6520	0.6471	-0.0049	0.0147	0.0147	0.0000	0.0000
condition-1-en-5k	123	1	sib200	es	ur	0.2304	0.2353	+0.0049	0.5343	0.4951	-0.0392	0.6176	0.6078	0.0980	0.1176
condition-1-en-5k	123	1	sib200	es	zh	0.5784	0.6078	+0.0294	0.6373	0.6373	+0.0000	0.0882	0.0539	0.0147	0.0245
condition-1-en-5k	123	1	sib200	ur	en	0.7402	0.7059	-0.0343	0.7255	0.6912	-0.0343	0.0000	0.0000	0.0147	0.0147
condition-1-en-5k	123	1	sib200	ur	es	0.5000	0.5000	+0.0000	0.5343	0.5245	-0.0098	0.0441	0.0343	0.0245	0.0245
condition-1-en-5k	123	1	sib200	ur	ur	0.2157	0.2402	+0.0245	0.5735	0.5637	-0.0098	0.5098	0.4314	0.0343	0.0245
condition-1-en-5k	123	1	sib200	ur	zh	0.5686	0.5539	-0.0147	0.5735	0.5539	-0.0196	0.0098	0.0000	0.0049	0.0147
condition-1-en-5k	123	1	sib200	zh	en	0.8039	0.7696	-0.0343	0.7892	0.7451	-0.0441	0.0098	0.0049	0.0196	0.0294
condition-1-en-5k	123	1	sib200	zh	es	0.5343	0.5490	+0.0147	0.5882	0.5882	+0.0000	0.0784	0.0539	0.0000	0.0000
condition-1-en-5k	123	1	sib200	zh	ur	0.2157	0.2304	+0.0147	0.5294	0.5196	-0.0098	0.6127	0.5490	0.1324	0.1127
condition-1-en-5k	123	1	sib200	zh	zh	0.5343	0.6029	+0.0686	0.6667	0.6716	+0.0049	0.1912	0.1127	0.0098	0.0098
condition-1-en-5k	123	1	xnli	en	en	0.4998	0.5218	+0.0220	0.4998	0.5218	+0.0220	0.0014	0.0002	0.0014	0.0002
condition-1-en-5k	123	1	xnli	en	es	0.3980	0.4122	+0.0142	0.3980	0.4122	+0.0142	0.0002	0.0002	0.0002	0.0002
condition-1-en-5k	123	1	xnli	en	ur	0.3816	0.4353	+0.0537	0.3816	0.4353	+0.0537	0.0010	0.0006	0.0008	0.0004
condition-1-en-5k	123	1	xnli	en	zh	0.3333	0.3335	+0.0002	0.3333	0.3335	+0.0002	0.0000	0.0000	0.0000	0.0000
