target_lang	template	benchmark	data	instr	matched_diagonal	condition	data_volume	matched_instr_for_this_condition	mean_acc_across_seeds	n_seeds
en	2	sib200	es	ur	n	condition-1-en-5k	5k	n	0.3693	3
en	2	sib200	es	ur	n	condition-1-en-20k	20k	n	0.4118	1
en	2	sib200	es	zh	n	baseline		n	0.5931	1
en	2	sib200	es	zh	n	condition-1-en-5k	5k	n	0.5752	3
en	2	sib200	es	zh	n	condition-1-en-20k	20k	n	0.5833	1
en	2	sib200	ur	en	n	baseline		n	0.6814	1
en	2	sib200	ur	en	n	condition-1-en-5k	5k	y	0.6667	3
en	2	sib200	ur	en	n	condition-1-en-20k	20k	y	0.6471	1
en	2	sib200	ur	es	n	baseline		n	0.6127	1
en	2	sib200	ur	es	n	condition-1-en-5k	5k	n	0.5637	3
en	2	sib200	ur	es	n	condition-1-en-20k	20k	n	0.5196	1
en	2	sib200	ur	ur	y	baseline		n	0.5294	1
en	2	sib200	ur	ur	y	condition-1-en-5k	5k	n	0.5441	3
en	2	sib200	ur	ur	y	condition-1-en-20k	20k	n	0.5637	1
en	2	sib200	ur	zh	n	baseline		n	0.5343	1
en	2	sib200	ur	zh	n	condition-1-en-5k	5k	n	0.5294	3
en	2	sib200	ur	zh	n	condition-1-en-20k	20k	n	0.5049	1
en	2	sib200	zh	en	n	baseline		n	0.6961	1
en	2	sib200	zh	en	n	condition-1-en-5k	5k	y	0.6716	3
en	2	sib200	zh	en	n	condition-1-en-20k	20k	y	0.6324	1
en	2	sib200	zh	es	n	baseline		n	0.5588	1
en	2	sib200	zh	es	n	condition-1-en-5k	5k	n	0.5376	3
en	2	sib200	zh	es	n	condition-1-en-20k	20k	n	0.5196	1
en	2	sib200	zh	ur	n	baseline		n	0.3971	1
en	2	sib200	zh	ur	n	condition-1-en-5k	5k	n	0.4853	3
en	2	sib200	zh	ur	n	condition-1-en-20k	20k	n	0.4951	1
en	2	sib200	zh	zh	y	baseline		n	0.6225	1
en	2	sib200	zh	zh	y	condition-1-en-5k	5k	n	0.6242	3
en	2	sib200	zh	zh	y	condition-1-en-20k	20k	n	0.6176	1
en	2	xnli	en	en	y	baseline		n	0.3786	1
en	2	xnli	en	en	y	condition-1-en-5k	5k	y	0.3565	3
en	2	xnli	en	en	y	condition-1-en-20k	20k	y	0.3447	1
en	2	xnli	en	es	n	baseline		n	0.3806	1
en	2	xnli	en	es	n	condition-1-en-5k	5k	n	0.3904	3
en	2	xnli	en	es	n	condition-1-en-20k	20k	n	0.3752	1
en	2	xnli	en	ur	n	baseline		n	0.2589	1
en	2	xnli	en	ur	n	condition-1-en-5k	5k	n	0.2512	3
en	2	xnli	en	ur	n	condition-1-en-20k	20k	n	0.2493	1
en	2	xnli	en	zh	n	baseline		n	0.3337	1
en	2	xnli	en	zh	n	condition-1-en-5k	5k	n	0.3840	3
en	2	xnli	en	zh	n	condition-1-en-20k	20k	n	0.3271	1
en	2	xnli	es	en	n	baseline		n	0.3661	1
en	2	xnli	es	en	n	condition-1-en-5k	5k	y	0.3547	3
en	2	xnli	es	en	n	condition-1-en-20k	20k	y	0.3441	1
en	2	xnli	es	es	y	baseline		n	0.3770	1
en	2	xnli	es	es	y	condition-1-en-5k	5k	n	0.3766	3
en	2	xnli	es	es	y	condition-1-en-20k	20k	n	0.3607	1
