condition	seed	benchmark	data	instr	matched_instr	matched_diagonal	t1_acc	t2_acc	delta_t2_t1	t1_count	t2_count	t1_correct	t2_correct
condition-1-en-5k	123	xnli	ur	ur	n	y	0.3343	0.3230	-0.0114	5010	5010	1675	1618
condition-1-en-5k	123	xnli	ur	zh	n	n	0.3333	0.2864	-0.0469	5010	5010	1670	1435
condition-1-en-5k	123	xnli	zh	en	y	n	0.4040	0.4593	+0.0553	5010	5010	2024	2301
condition-1-en-5k	123	xnli	zh	es	n	n	0.3333	0.3587	+0.0253	5010	5010	1670	1797
condition-1-en-5k	123	xnli	zh	ur	n	n	0.3377	0.3363	-0.0014	5010	5010	1692	1685
condition-1-en-5k	123	xnli	zh	zh	n	y	0.3321	0.2942	-0.0379	5010	5010	1664	1474
condition-1-en-5k	42	belebele	en	en	y	y	0.7800	0.7889	+0.0089	900	900	702	710
condition-1-en-5k	42	belebele	en	es	n	n	0.7589	0.7822	+0.0233	900	900	683	704
condition-1-en-5k	42	belebele	en	ur	n	n	0.7567	0.7622	+0.0056	900	900	681	686
condition-1-en-5k	42	belebele	en	zh	n	n	0.7889	0.8044	+0.0156	900	900	710	724
condition-1-en-5k	42	belebele	es	en	y	n	0.7033	0.7122	+0.0089	900	900	633	641
condition-1-en-5k	42	belebele	es	es	n	y	0.6733	0.6978	+0.0244	900	900	606	628
condition-1-en-5k	42	belebele	es	ur	n	n	0.6444	0.6478	+0.0033	900	900	580	583
condition-1-en-5k	42	belebele	es	zh	n	n	0.6922	0.7178	+0.0256	900	900	623	646
condition-1-en-5k	42	belebele	ur	en	y	n	0.6167	0.6211	+0.0044	900	900	555	559
condition-1-en-5k	42	belebele	ur	es	n	n	0.5456	0.5656	+0.0200	900	900	491	509
condition-1-en-5k	42	belebele	ur	ur	n	y	0.5422	0.5289	-0.0133	900	900	488	476
condition-1-en-5k	42	belebele	ur	zh	n	n	0.5978	0.6067	+0.0089	900	900	538	546
condition-1-en-5k	42	belebele	zh	en	y	n	0.7656	0.7644	-0.0011	900	900	689	688
condition-1-en-5k	42	belebele	zh	es	n	n	0.7056	0.7367	+0.0311	900	900	635	663
condition-1-en-5k	42	belebele	zh	ur	n	n	0.7144	0.7089	-0.0056	900	900	643	638
condition-1-en-5k	42	belebele	zh	zh	n	y	0.7733	0.7556	-0.0178	900	900	696	680
condition-1-en-5k	42	csqa	en	en	y	y	0.6130	0.6160	+0.0030	1000	1000	613	616
condition-1-en-5k	42	csqa	en	es	n	n	0.6090	0.6180	+0.0090	1000	1000	609	618
condition-1-en-5k	42	csqa	en	ur	n	n	0.5920	0.5850	-0.0070	1000	1000	592	585
condition-1-en-5k	42	csqa	en	zh	n	n	0.6460	0.6360	-0.0100	1000	1000	646	636
condition-1-en-5k	42	csqa	es	en	y	n	0.5390	0.5310	-0.0080	1000	1000	539	531
condition-1-en-5k	42	csqa	es	es	n	y	0.5440	0.5350	-0.0090	1000	1000	544	535
condition-1-en-5k	42	csqa	es	ur	n	n	0.4840	0.4860	+0.0020	1000	1000	484	486
condition-1-en-5k	42	csqa	es	zh	n	n	0.5480	0.5350	-0.0130	1000	1000	548	535
condition-1-en-5k	42	csqa	ur	en	y	n	0.4240	0.4210	-0.0030	1000	1000	424	421
condition-1-en-5k	42	csqa	ur	es	n	n	0.3980	0.3910	-0.0070	1000	1000	398	391
condition-1-en-5k	42	csqa	ur	ur	n	y	0.4130	0.3890	-0.0240	1000	1000	413	389
condition-1-en-5k	42	csqa	ur	zh	n	n	0.3820	0.4030	+0.0210	1000	1000	382	403
condition-1-en-5k	42	csqa	zh	en	y	n	0.5540	0.5310	-0.0230	1000	1000	554	531
condition-1-en-5k	42	csqa	zh	es	n	n	0.5090	0.5050	-0.0040	1000	1000	509	505
condition-1-en-5k	42	csqa	zh	ur	n	n	0.4800	0.4690	-0.0110	1000	1000	480	469
condition-1-en-5k	42	csqa	zh	zh	n	y	0.5260	0.5340	+0.0080	1000	1000	526	534
condition-1-en-5k	42	sib200	en	en	y	y	0.7500	0.7010	-0.0490	204	204	153	143
