condition	seed	template	benchmark	data	instr	n	orig_acc	repar_acc	delta_acc	orig_pf	repar_pf	delta_pf
condition-1-en-20k	42	1	xnli	es	es	None	0.4758	0.4758	+0.0000	0.0008	0.0008	+0.0000
condition-1-en-20k	42	1	xnli	es	ur	None	0.3752	0.3752	+0.0000	0.0006	0.0006	+0.0000
condition-1-en-20k	42	1	xnli	es	zh	None	0.3337	0.3337	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	1	xnli	ur	en	None	0.4379	0.4379	+0.0000	0.0002	0.0002	+0.0000
condition-1-en-20k	42	1	xnli	ur	es	None	0.4060	0.4060	+0.0000	0.0002	0.0002	+0.0000
condition-1-en-20k	42	1	xnli	ur	ur	None	0.3403	0.3403	+0.0000	0.0020	0.0020	+0.0000
condition-1-en-20k	42	1	xnli	ur	zh	None	0.3333	0.3333	+0.0000	0.0002	0.0002	+0.0000
condition-1-en-20k	42	1	xnli	zh	en	None	0.4120	0.4120	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	1	xnli	zh	es	None	0.3337	0.3337	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	1	xnli	zh	ur	None	0.3423	0.3423	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	1	xnli	zh	zh	None	0.3331	0.3331	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	2	belebele	en	en	None	0.7922	0.7922	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	2	belebele	en	es	None	0.7789	0.7789	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	2	belebele	en	ur	None	0.7600	0.7600	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	2	belebele	en	zh	None	0.7967	0.7967	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	2	belebele	es	en	None	0.7189	0.7189	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	2	belebele	es	es	None	0.6833	0.6833	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	2	belebele	es	ur	None	0.6422	0.6422	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	2	belebele	es	zh	None	0.7156	0.7156	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	2	belebele	ur	en	None	0.6222	0.6222	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	2	belebele	ur	es	None	0.5656	0.5656	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	2	belebele	ur	ur	None	0.5156	0.5156	+0.0000	0.0011	0.0011	+0.0000
condition-1-en-20k	42	2	belebele	ur	zh	None	0.6056	0.6056	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	2	belebele	zh	en	None	0.7622	0.7622	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	2	belebele	zh	es	None	0.7344	0.7344	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	2	belebele	zh	ur	None	0.7033	0.7033	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	2	belebele	zh	zh	None	0.7633	0.7633	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	2	csqa	en	en	None	0.6160	0.6160	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	2	csqa	en	es	None	0.6210	0.6210	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	2	csqa	en	ur	None	0.5820	0.5820	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	2	csqa	en	zh	None	0.6340	0.6340	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	2	csqa	es	en	None	0.5270	0.5270	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	2	csqa	es	es	None	0.5350	0.5350	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	2	csqa	es	ur	None	0.4830	0.4830	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	2	csqa	es	zh	None	0.5350	0.5350	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	2	csqa	ur	en	None	0.4210	0.4210	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	2	csqa	ur	es	None	0.3920	0.3920	+0.0000	0.0000	0.0000	+0.0000
