condition	target_lang	seed	template	benchmark	data	instr	matched_diagonal	matched_instr	baseline_acc	cond_1_en_5k_acc	cond_acc	delta_vs_baseline	delta_en_finetune_only	delta_language_specific
condition-2-es-5k	es	42	1	sib200	ur	en	n	n	0.7255	0.6895	0.7010	-0.0245	-0.0359	+0.0114
condition-2-es-5k	es	42	1	sib200	ur	es	n	y	0.5343	0.5180	0.5245	-0.0098	-0.0163	+0.0065
condition-2-es-5k	es	42	1	sib200	zh	en	n	n	0.7892	0.7500	0.7647	-0.0245	-0.0392	+0.0147
condition-2-es-5k	es	42	1	sib200	zh	es	n	y	0.5882	0.5735	0.6275	+0.0392	-0.0147	+0.0539
condition-2-es-5k	es	42	1	xnli	en	en	y	n	0.4998	0.5226	0.5291	+0.0293	+0.0228	+0.0065
condition-2-es-5k	es	42	1	xnli	en	es	n	y	0.3980	0.4161	0.5090	+0.1110	+0.0181	+0.0929
condition-2-es-5k	es	42	1	xnli	es	en	n	n	0.4525	0.4687	0.4932	+0.0407	+0.0162	+0.0245
condition-2-es-5k	es	42	1	xnli	es	es	y	y	0.4547	0.4623	0.4762	+0.0216	+0.0077	+0.0139
condition-2-es-5k	es	42	1	xnli	ur	en	n	n	0.4343	0.4375	0.4469	+0.0126	+0.0032	+0.0094
condition-2-es-5k	es	42	1	xnli	ur	es	n	y	0.3727	0.3844	0.4431	+0.0705	+0.0117	+0.0587
condition-2-es-5k	es	42	1	xnli	zh	en	n	n	0.3906	0.4034	0.4359	+0.0453	+0.0128	+0.0325
condition-2-es-5k	es	42	1	xnli	zh	es	n	y	0.3333	0.3333	0.3665	+0.0331	+0.0000	+0.0331
condition-2-es-5k	es	42	2	belebele	en	en	y	n	0.7822	0.7870	0.7889	+0.0067	+0.0048	+0.0019
condition-2-es-5k	es	42	2	belebele	en	es	n	y	0.7756	0.7830	0.7900	+0.0144	+0.0074	+0.0070
condition-2-es-5k	es	42	2	belebele	es	en	n	n	0.7011	0.7096	0.7200	+0.0189	+0.0085	+0.0104
condition-2-es-5k	es	42	2	belebele	es	es	y	y	0.6989	0.6952	0.7133	+0.0144	-0.0037	+0.0181
condition-2-es-5k	es	42	2	belebele	ur	en	n	n	0.6144	0.6200	0.6278	+0.0133	+0.0056	+0.0078
condition-2-es-5k	es	42	2	belebele	ur	es	n	y	0.5544	0.5622	0.5889	+0.0344	+0.0078	+0.0267
condition-2-es-5k	es	42	2	belebele	zh	en	n	n	0.7589	0.7637	0.7644	+0.0056	+0.0048	+0.0007
condition-2-es-5k	es	42	2	belebele	zh	es	n	y	0.7367	0.7352	0.7489	+0.0122	-0.0015	+0.0137
condition-2-es-5k	es	42	2	csqa	en	en	y	n	0.6070	0.6113	0.6050	-0.0020	+0.0043	-0.0063
condition-2-es-5k	es	42	2	csqa	en	es	n	y	0.6230	0.6187	0.6210	-0.0020	-0.0043	+0.0023
condition-2-es-5k	es	42	2	csqa	es	en	n	n	0.5170	0.5260	0.5270	+0.0100	+0.0090	+0.0010
condition-2-es-5k	es	42	2	csqa	es	es	y	y	0.5320	0.5340	0.5400	+0.0080	+0.0020	+0.0060
condition-2-es-5k	es	42	2	csqa	ur	en	n	n	0.4170	0.4197	0.4180	+0.0010	+0.0027	-0.0017
condition-2-es-5k	es	42	2	csqa	ur	es	n	y	0.3930	0.3940	0.4000	+0.0070	+0.0010	+0.0060
